Day;Number of animals;Number of plants;Most popular genotypes;Average energy level;Average days alive for dead animals;Average kids number
0;10;18;[1, 0, 7, 3, 6, 1, 3, 1, 5, 4] [6, 2, 6, 1, 2, 6, 3, 0, 2, 0] [4, 3, 5, 7, 4, 2, 6, 6, 5, 3] [3, 2, 1, 2, 3, 2, 0, 1, 3, 6] [2, 3, 1, 5, 6, 3, 5, 5, 2, 6] [3, 3, 2, 1, 5, 6, 7, 5, 6, 4] [6, 1, 2, 6, 5, 0, 6, 4, 5, 4] [6, 1, 1, 2, 0, 2, 4, 6, 6, 5] [5, 4, 2, 5, 1, 1, 6, 4, 2, 3] [2, 5, 7, 2, 7, 2, 4, 3, 2, 6];11;No data available;0
1;10;28;[1, 0, 7, 3, 6, 1, 3, 1, 5, 4] [6, 2, 6, 1, 2, 6, 3, 0, 2, 0] [4, 3, 5, 7, 4, 2, 6, 6, 5, 3] [3, 2, 1, 2, 3, 2, 0, 1, 3, 6] [2, 3, 1, 5, 6, 3, 5, 5, 2, 6] [3, 3, 2, 1, 5, 6, 7, 5, 6, 4] [6, 1, 2, 6, 5, 0, 6, 4, 5, 4] [6, 1, 1, 2, 0, 2, 4, 6, 6, 5] [5, 4, 2, 5, 1, 1, 6, 4, 2, 3] [2, 5, 7, 2, 7, 2, 4, 3, 2, 6];10;No data available;0
2;10;35;[1, 0, 7, 3, 6, 1, 3, 1, 5, 4] [6, 2, 6, 1, 2, 6, 3, 0, 2, 0] [4, 3, 5, 7, 4, 2, 6, 6, 5, 3] [3, 2, 1, 2, 3, 2, 0, 1, 3, 6] [2, 3, 1, 5, 6, 3, 5, 5, 2, 6] [3, 3, 2, 1, 5, 6, 7, 5, 6, 4] [6, 1, 2, 6, 5, 0, 6, 4, 5, 4] [6, 1, 1, 2, 0, 2, 4, 6, 6, 5] [5, 4, 2, 5, 1, 1, 6, 4, 2, 3] [2, 5, 7, 2, 7, 2, 4, 3, 2, 6];12;No data available;0
3;10;41;[1, 0, 7, 3, 6, 1, 3, 1, 5, 4] [6, 2, 6, 1, 2, 6, 3, 0, 2, 0] [4, 3, 5, 7, 4, 2, 6, 6, 5, 3] [3, 2, 1, 2, 3, 2, 0, 1, 3, 6] [2, 3, 1, 5, 6, 3, 5, 5, 2, 6] [3, 3, 2, 1, 5, 6, 7, 5, 6, 4] [6, 1, 2, 6, 5, 0, 6, 4, 5, 4] [6, 1, 1, 2, 0, 2, 4, 6, 6, 5] [5, 4, 2, 5, 1, 1, 6, 4, 2, 3] [2, 5, 7, 2, 7, 2, 4, 3, 2, 6];15;No data available;0
4;11;47;[5, 3, 4, 7, 4, 4, 6, 6, 5, 3] [1, 0, 7, 3, 6, 1, 3, 1, 5, 4] [6, 2, 6, 1, 2, 6, 3, 0, 2, 0] [4, 3, 5, 7, 4, 2, 6, 6, 5, 3] [3, 2, 1, 2, 3, 2, 0, 1, 3, 6] [2, 3, 1, 5, 6, 3, 5, 5, 2, 6] [3, 3, 2, 1, 5, 6, 7, 5, 6, 4] [6, 1, 2, 6, 5, 0, 6, 4, 5, 4] [6, 1, 1, 2, 0, 2, 4, 6, 6, 5] [5, 4, 2, 5, 1, 1, 6, 4, 2, 3] [2, 5, 7, 2, 7, 2, 4, 3, 2, 6];16;No data available;0
5;11;51;[5, 3, 4, 7, 4, 4, 6, 6, 5, 3] [1, 0, 7, 3, 6, 1, 3, 1, 5, 4] [6, 2, 6, 1, 2, 6, 3, 0, 2, 0] [4, 3, 5, 7, 4, 2, 6, 6, 5, 3] [3, 2, 1, 2, 3, 2, 0, 1, 3, 6] [2, 3, 1, 5, 6, 3, 5, 5, 2, 6] [3, 3, 2, 1, 5, 6, 7, 5, 6, 4] [6, 1, 2, 6, 5, 0, 6, 4, 5, 4] [6, 1, 1, 2, 0, 2, 4, 6, 6, 5] [5, 4, 2, 5, 1, 1, 6, 4, 2, 3] [2, 5, 7, 2, 7, 2, 4, 3, 2, 6];20;No data available;0
6;11;53;[5, 3, 4, 7, 4, 4, 6, 6, 5, 3] [1, 0, 7, 3, 6, 1, 3, 1, 5, 4] [6, 2, 6, 1, 2, 6, 3, 0, 2, 0] [4, 3, 5, 7, 4, 2, 6, 6, 5, 3] [3, 2, 1, 2, 3, 2, 0, 1, 3, 6] [2, 3, 1, 5, 6, 3, 5, 5, 2, 6] [3, 3, 2, 1, 5, 6, 7, 5, 6, 4] [6, 1, 2, 6, 5, 0, 6, 4, 5, 4] [6, 1, 1, 2, 0, 2, 4, 6, 6, 5] [5, 4, 2, 5, 1, 1, 6, 4, 2, 3] [2, 5, 7, 2, 7, 2, 4, 3, 2, 6];27;No data available;0
7;11;56;[5, 3, 4, 7, 4, 4, 6, 6, 5, 3] [1, 0, 7, 3, 6, 1, 3, 1, 5, 4] [6, 2, 6, 1, 2, 6, 3, 0, 2, 0] [4, 3, 5, 7, 4, 2, 6, 6, 5, 3] [3, 2, 1, 2, 3, 2, 0, 1, 3, 6] [2, 3, 1, 5, 6, 3, 5, 5, 2, 6] [3, 3, 2, 1, 5, 6, 7, 5, 6, 4] [6, 1, 2, 6, 5, 0, 6, 4, 5, 4] [6, 1, 1, 2, 0, 2, 4, 6, 6, 5] [5, 4, 2, 5, 1, 1, 6, 4, 2, 3] [2, 5, 7, 2, 7, 2, 4, 3, 2, 6];32;No data available;0
8;12;61;[5, 3, 4, 7, 4, 4, 6, 6, 5, 3] [1, 0, 7, 3, 6, 1, 3, 1, 5, 4] [6, 2, 6, 1, 2, 6, 3, 0, 2, 0] [4, 3, 5, 7, 4, 2, 6, 6, 5, 3] [3, 2, 1, 2, 3, 2, 0, 1, 3, 6] [2, 3, 1, 5, 6, 3, 5, 5, 2, 6] [3, 0, 1, 0, 5, 2, 0, 1, 4, 5] [3, 3, 2, 1, 5, 6, 7, 5, 6, 4] [6, 1, 2, 6, 5, 0, 6, 4, 5, 4] [6, 1, 1, 2, 0, 2, 4, 6, 6, 5] [5, 4, 2, 5, 1, 1, 6, 4, 2, 3] [2, 5, 7, 2, 7, 2, 4, 3, 2, 6];33;No data available;0
9;14;66;[3, 2, 1, 2, 3, 2, 0, 1, 3, 6];31;No data available;0
