Day;Number of animals;Number of plants;Number of free tiles;Most popular genotypes;Average energy level;Average days alive for dead animals;Average kids number
0;10;19;73;[3, 2, 2, 2, 1] [5, 2, 7, 3, 7] [4, 0, 3, 1, 3] [3, 6, 7, 1, 4] [2, 5, 6, 2, 4] [5, 6, 4, 1, 6] [1, 7, 7, 5, 1] [5, 6, 4, 5, 5] [5, 7, 2, 3, 5] [3, 4, 3, 3, 1];10;No data available;0
1;10;28;63;[3, 2, 2, 2, 1] [5, 2, 7, 3, 7] [4, 0, 3, 1, 3] [3, 6, 7, 1, 4] [2, 5, 6, 2, 4] [5, 6, 4, 1, 6] [1, 7, 7, 5, 1] [5, 6, 4, 5, 5] [5, 7, 2, 3, 5] [3, 4, 3, 3, 1];10;No data available;0
2;10;36;56;[3, 2, 2, 2, 1] [5, 2, 7, 3, 7] [4, 0, 3, 1, 3] [3, 6, 7, 1, 4] [2, 5, 6, 2, 4] [5, 6, 4, 1, 6] [1, 7, 7, 5, 1] [5, 6, 4, 5, 5] [5, 7, 2, 3, 5] [3, 4, 3, 3, 1];11;No data available;0
3;11;43;50;[3, 2, 2, 2, 1] [5, 2, 7, 3, 7] [6, 2, 1, 0, 4] [4, 0, 3, 1, 3] [3, 6, 7, 1, 4] [2, 5, 6, 2, 4] [5, 6, 4, 1, 6] [1, 7, 7, 5, 1] [5, 6, 4, 5, 5] [5, 7, 2, 3, 5] [3, 4, 3, 3, 1];11;No data available;0
4;11;49;47;[3, 2, 2, 2, 1] [5, 2, 7, 3, 7] [6, 2, 1, 0, 4] [4, 0, 3, 1, 3] [3, 6, 7, 1, 4] [5, 6, 4, 1, 6] [5, 2, 2, 4, 5] [1, 7, 7, 5, 1] [5, 6, 4, 5, 5] [5, 7, 2, 3, 5] [3, 4, 3, 3, 1];14;4;0
5;11;54;38;[3, 2, 2, 2, 1] [5, 2, 7, 3, 7] [6, 2, 1, 0, 4] [4, 0, 3, 1, 3] [3, 6, 7, 1, 4] [5, 6, 4, 1, 6] [5, 2, 2, 4, 5] [1, 7, 7, 5, 1] [5, 6, 4, 5, 5] [5, 7, 2, 3, 5] [3, 4, 3, 3, 1];18;4;0
6;11;60;31;[3, 2, 2, 2, 1] [5, 2, 7, 3, 7] [6, 2, 1, 0, 4] [4, 0, 3, 1, 3] [3, 6, 7, 1, 4] [5, 6, 4, 1, 6] [5, 2, 2, 4, 5] [1, 7, 7, 5, 1] [5, 6, 4, 5, 5] [5, 7, 2, 3, 5] [3, 4, 3, 3, 1];21;4;0
7;11;63;28;[3, 2, 2, 2, 1] [5, 2, 7, 3, 7] [6, 2, 1, 0, 4] [4, 0, 3, 1, 3] [3, 6, 7, 1, 4] [5, 6, 4, 1, 6] [5, 2, 2, 4, 5] [1, 7, 7, 5, 1] [5, 6, 4, 5, 5] [5, 7, 2, 3, 5] [3, 4, 3, 3, 1];26;4;0
8;11;69;22;[3, 2, 2, 2, 1] [5, 2, 7, 3, 7] [6, 2, 1, 0, 4] [4, 0, 3, 1, 3] [3, 6, 7, 1, 4] [5, 6, 4, 1, 6] [5, 2, 2, 4, 5] [1, 7, 7, 5, 1] [5, 6, 4, 5, 5] [5, 7, 2, 3, 5] [3, 4, 3, 3, 1];29;4;0
9;12;72;22;[3, 2, 2, 2, 1] [5, 2, 7, 3, 7] [6, 2, 1, 0, 4] [4, 0, 3, 1, 3] [3, 6, 7, 1, 4] [5, 6, 4, 1, 6] [5, 2, 2, 4, 5] [1, 7, 7, 5, 1] [5, 2, 2, 3, 5] [5, 6, 4, 5, 5] [5, 7, 2, 3, 5] [3, 4, 3, 3, 1];31;4;0
