Day;0
Number of animals;10
Number of plants;19
Most popular genotypes;"[2, 7, 4, 2, 1, 6, 4, 1, 4, 1] [3, 6, 2, 6, 1, 7, 6, 1, 0, 5] [1, 1, 5, 4, 3, 5, 1, 4, 6, 6] [2, 4, 1, 3, 6, 3, 0, 7, 3, 1] [4, 7, 4, 3, 2, 6, 3, 6, 7, 1] [3, 2, 5, 0, 1, 4, 3, 0, 7, 6] [0, 2, 5, 1, 1, 4, 7, 1, 3, 3] [4, 6, 1, 0, 0, 4, 6, 3, 1, 4] [2, 4, 0, 4, 4, 3, 1, 3, 5, 7] [2, 5, 2, 0, 1, 1, 3, 5, 3, 7]"
Average energy level;10
Average days alive for dead animals;No data available
Average kids number;0
Day;1
Number of animals;10
Number of plants;27
Most popular genotypes;"[2, 7, 4, 2, 1, 6, 4, 1, 4, 1] [3, 6, 2, 6, 1, 7, 6, 1, 0, 5] [1, 1, 5, 4, 3, 5, 1, 4, 6, 6] [2, 4, 1, 3, 6, 3, 0, 7, 3, 1] [4, 7, 4, 3, 2, 6, 3, 6, 7, 1] [3, 2, 5, 0, 1, 4, 3, 0, 7, 6] [0, 2, 5, 1, 1, 4, 7, 1, 3, 3] [4, 6, 1, 0, 0, 4, 6, 3, 1, 4] [2, 4, 0, 4, 4, 3, 1, 3, 5, 7] [2, 5, 2, 0, 1, 1, 3, 5, 3, 7]"
Average energy level;11
Average days alive for dead animals;No data available
Average kids number;0
Day;2
Number of animals;10
Number of plants;33
Most popular genotypes;"[2, 7, 4, 2, 1, 6, 4, 1, 4, 1] [3, 6, 2, 6, 1, 7, 6, 1, 0, 5] [1, 1, 5, 4, 3, 5, 1, 4, 6, 6] [2, 4, 1, 3, 6, 3, 0, 7, 3, 1] [4, 7, 4, 3, 2, 6, 3, 6, 7, 1] [3, 2, 5, 0, 1, 4, 3, 0, 7, 6] [0, 2, 5, 1, 1, 4, 7, 1, 3, 3] [4, 6, 1, 0, 0, 4, 6, 3, 1, 4] [2, 4, 0, 4, 4, 3, 1, 3, 5, 7] [2, 5, 2, 0, 1, 1, 3, 5, 3, 7]"
Average energy level;14
